2025-02-24 10:35:05,698 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 86.05%, Threshold: 0.100
2025-02-24 10:35:06,726 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 86.42%, Threshold: 0.100
2025-02-24 10:35:07,739 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 89.48%, Threshold: 0.100
2025-02-24 10:35:08,738 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 90.74%, Threshold: 0.100
2025-02-24 10:35:09,749 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 90.90%, Threshold: 0.100
2025-02-24 10:35:10,793 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 91.00%, Threshold: 0.100
2025-02-24 10:35:11,817 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 91.32%, Threshold: 0.100
2025-02-24 10:35:12,818 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 83.75%, Threshold: 0.100
2025-02-24 10:35:13,829 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 89.19%, Threshold: 0.100
2025-02-24 10:35:14,837 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 88.96%, Threshold: 0.100
2025-02-24 10:35:15,868 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 89.91%, Threshold: 0.100
2025-02-24 10:35:16,898 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 90.14%, Threshold: 0.100
2025-02-24 10:35:17,911 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 90.14%, Threshold: 0.100
2025-02-24 10:35:18,940 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 91.35%, Threshold: 0.100
2025-02-24 10:35:19,957 - INFO - Gesture: Б, Stability: 100.00%, Similarity: 90.81%, Threshold: 0.100
2025-02-24 10:35:21,000 - INFO - Gesture: Немає руки, Stability: 22.58%, Similarity: 0.00%, Threshold: 0.100
2025-02-24 10:35:22,017 - INFO - Gesture: Немає руки, Stability: 100.00%, Similarity: 0.00%, Threshold: 0.100
2025-02-24 10:35:23,030 - INFO - Gesture: Немає руки, Stability: 100.00%, Similarity: 0.00%, Threshold: 0.100
2025-02-24 10:35:24,043 - INFO - Gesture: Немає руки, Stability: 100.00%, Similarity: 0.00%, Threshold: 0.100
2025-02-24 10:35:25,046 - INFO - Gesture: Немає руки, Stability: 100.00%, Similarity: 0.00%, Threshold: 0.611
2025-02-24 10:35:26,059 - INFO - Gesture: Не Б, Stability: 23.33%, Similarity: 3.57%, Threshold: 0.611
2025-02-24 10:35:27,068 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 7.95%, Threshold: 0.611
2025-02-24 10:35:28,094 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 14.03%, Threshold: 0.611
2025-02-24 10:35:29,126 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 15.62%, Threshold: 0.611
2025-02-24 10:35:30,143 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 15.70%, Threshold: 0.611
2025-02-24 10:35:31,158 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.83%, Threshold: 0.611
2025-02-24 10:35:32,161 - INFO - Gesture: Не Б, Stability: 89.66%, Similarity: 8.40%, Threshold: 0.611
2025-02-24 10:35:33,180 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 5.09%, Threshold: 0.611
2025-02-24 10:35:34,193 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 5.01%, Threshold: 0.611
2025-02-24 10:35:35,224 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 5.12%, Threshold: 0.611
2025-02-24 10:35:36,252 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.09%, Threshold: 0.611
2025-02-24 10:35:37,261 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.23%, Threshold: 0.611
2025-02-24 10:35:38,273 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.97%, Threshold: 0.611
2025-02-24 10:35:39,299 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.95%, Threshold: 0.611
2025-02-24 10:35:40,314 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.36%, Threshold: 0.611
2025-02-24 10:35:41,331 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.77%, Threshold: 0.611
2025-02-24 10:35:42,346 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 5.28%, Threshold: 0.611
2025-02-24 10:35:43,361 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.60%, Threshold: 0.611
2025-02-24 10:35:44,362 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.48%, Threshold: 0.611
2025-02-24 10:35:45,396 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.62%, Threshold: 0.611
2025-02-24 10:35:46,425 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.57%, Threshold: 0.611
2025-02-24 10:35:47,439 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.55%, Threshold: 0.611
2025-02-24 10:35:48,466 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.51%, Threshold: 0.611
2025-02-24 10:35:49,483 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.36%, Threshold: 0.611
2025-02-24 10:35:50,486 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.05%, Threshold: 0.611
2025-02-24 10:35:51,516 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.89%, Threshold: 0.611
2025-02-24 10:35:52,517 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.15%, Threshold: 0.611
2025-02-24 10:35:53,530 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.18%, Threshold: 0.611
2025-02-24 10:35:54,547 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 4.16%, Threshold: 0.611
2025-02-24 10:35:55,557 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 24.15%, Threshold: 0.411
2025-02-24 10:35:56,567 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 24.62%, Threshold: 0.411
2025-02-24 10:35:57,579 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 24.33%, Threshold: 0.411
2025-02-24 10:35:58,589 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 42.13%, Threshold: 0.411
2025-02-24 10:35:59,601 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 39.23%, Threshold: 0.411
2025-02-24 10:36:00,595 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 39.39%, Threshold: 0.411
2025-02-24 10:36:01,594 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 40.17%, Threshold: 0.411
2025-02-24 10:36:02,608 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 40.03%, Threshold: 0.411
2025-02-24 10:36:03,617 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 39.82%, Threshold: 0.411
2025-02-24 10:36:04,631 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 40.38%, Threshold: 0.411
2025-02-24 10:36:05,649 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 10.47%, Threshold: 0.586
2025-02-24 10:36:06,648 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.42%, Threshold: 0.706
2025-02-24 10:36:07,660 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.51%, Threshold: 0.706
2025-02-24 10:36:08,706 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.52%, Threshold: 0.706
2025-02-24 10:36:09,702 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.56%, Threshold: 0.706
2025-02-24 10:36:10,729 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.47%, Threshold: 0.706
2025-02-24 10:36:11,740 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.41%, Threshold: 0.706
2025-02-24 10:36:12,771 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.18%, Threshold: 0.706
2025-02-24 10:36:13,780 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.31%, Threshold: 0.706
2025-02-24 10:36:14,812 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.31%, Threshold: 0.706
2025-02-24 10:36:15,824 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.65%, Threshold: 0.706
2025-02-24 10:36:16,837 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.27%, Threshold: 0.706
2025-02-24 10:36:17,838 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.18%, Threshold: 0.706
2025-02-24 10:36:18,857 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.15%, Threshold: 0.706
2025-02-24 10:36:19,866 - INFO - Gesture: Не Б, Stability: 96.67%, Similarity: 1.30%, Threshold: 0.706
2025-02-24 10:36:20,895 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.22%, Threshold: 0.706
2025-02-24 10:36:21,922 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.21%, Threshold: 0.706
2025-02-24 10:36:22,922 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.29%, Threshold: 0.706
2025-02-24 10:36:23,951 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.30%, Threshold: 0.706
2025-02-24 10:36:24,960 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 1.46%, Threshold: 0.706
2025-02-24 10:36:25,990 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.17%, Threshold: 0.706
2025-02-24 10:36:27,007 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.46%, Threshold: 0.706
2025-02-24 10:36:28,019 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.29%, Threshold: 0.706
2025-02-24 10:36:29,031 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.29%, Threshold: 0.706
2025-02-24 10:36:30,055 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.26%, Threshold: 0.706
2025-02-24 10:36:31,054 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.29%, Threshold: 0.706
2025-02-24 10:36:32,070 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.29%, Threshold: 0.706
2025-02-24 10:36:33,101 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.57%, Threshold: 0.706
2025-02-24 10:36:34,128 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 9.41%, Threshold: 0.706
2025-02-24 10:36:35,135 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 5.36%, Threshold: 0.706
2025-02-24 10:36:36,151 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 5.07%, Threshold: 0.706
2025-02-24 10:36:37,168 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.65%, Threshold: 0.706
2025-02-24 10:36:38,189 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.64%, Threshold: 0.706
2025-02-24 10:36:39,212 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.84%, Threshold: 0.706
2025-02-24 10:36:40,218 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.87%, Threshold: 0.706
2025-02-24 10:36:41,229 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.85%, Threshold: 0.706
2025-02-24 10:36:42,246 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.72%, Threshold: 0.706
2025-02-24 10:36:43,262 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.10%, Threshold: 0.706
2025-02-24 10:36:44,272 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 3.02%, Threshold: 0.706
2025-02-24 10:36:45,283 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.79%, Threshold: 0.706
2025-02-24 10:36:46,294 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.67%, Threshold: 0.706
2025-02-24 10:36:47,325 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.71%, Threshold: 0.706
2025-02-24 10:36:48,350 - INFO - Gesture: Не Б, Stability: 100.00%, Similarity: 2.04%, Threshold: 0.706
